Country,Happiness Rank,Happiness Score,Corruption,Human Development Index,Life Expectancy at Birth,Mean Years of Schooling,GDP Per Capita,Inequality in eduation,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Carbon dioxide emissions per capita (production) (tonnes),Year
Azerbaijan,80,5.212,0.16065,0.748,71.4512,10.47585011,14405.94934,3.537645367,0.335,27,3.843892777,2015
Pakistan,81,5.194,0.10464,0.534,65.6971,5.162640095,4207.010308,44.39953,0.547,154,0.848690651,2015
Jordan,82,5.192,0.14293,0.718,75.0112,10.07138991,10032.8831,16.9017,0.464,48,2.757890591,2015
Montenegro,82,5.192,0.14296,0.822,76.7561,11.7216987,18649.82217,7.36696,0.146,6,3.570744996,2015
China,84,5.14,0.02781,0.733,76.9771,7.199924151,12552.18518,11.68,0.224,30,7.000344465,2015
Zambia,85,5.129,0.12468,0.562,61.2078,6.673864603,3403.471444,21.73491,0.567,232,0.321045664,2015
Romania,86,5.124,0.00649,0.813,74.7901,10.98408985,23639.21976,6.21994,0.318,21,3.832413015,2015
Serbia,87,5.123,0.02617,0.794,75.8172,11.01756954,14858.915,9.26056,0.159,13,4.928151287,2015
Portugal,88,5.102,0.01078,0.85,81.2093,8.986729622,30186.54091,17.49102,0.08,9,5.043222399,2015
Latvia,89,5.098,0.06332,0.85,74.6854,12.87024021,25952.38949,3.7064,0.227,23,3.635277828,2015
Philippines,90,5.073,0.12279,0.698,71.2684,8.796239853,8143.543154,11.5562,0.43,127,1.09821636,2015
Mozambique,94,4.971,0.15603,0.44,58.1509,3.18881011,1240.456932,36.57526228,0.54,318,0.233118835,2015
Albania,95,4.959,0.06413,0.795,78.6441,10.54743948,12016.2976,11.9,0.204,15,1.555329452,2015
Bosnia and Herzegovina,96,4.949,0.00227,0.761,76.1819,9.291910172,12719.39655,21.09802134,0.165,10,5.383072823,2015
Lesotho,97,4.898,0.12504,0.503,51.1014,5.655473414,3046.013954,21.91631,0.558,574,1.089061258,2015
Dominican Republic,98,4.885,0.14234,0.736,72.9531,7.718160152,14694.1036,17.87405,0.471,94,2.285093487,2015
Mongolia,100,4.874,0.02666,0.732,69.4977,9.732735157,10239.78955,11.9202,0.336,47,7.751733485,2015
Greece,102,4.857,0.01397,0.88,80.6676,10.74370956,28208.72,13.28169,0.122,3,7.032163043,2015
Lebanon,103,4.839,0.04582,0.746,79.2294,8.499553974,16178.16274,6.177,0.464,29,3.93936453,2015
Hungary,104,4.8,0.02758,0.838,75.6517,11.84778976,26281.74257,2.95528,0.247,12,4.767351921,2015
Honduras,105,4.788,0.06825,0.613,72.4871,6.294149876,4927.099416,23.37398,0.424,67,1.075616191,2015
Tajikistan,106,4.786,0.15072,0.657,69.3059,11.34850794,3479.011645,6.54325,0.329,18,0.62719215,2015
Tunisia,107,4.739,0.06358,0.733,75.6919,7.082895041,10793.65064,34.57692,0.283,46,2.618240924,2015
Bangladesh,109,4.694,0.12569,0.602,70.4913,5.98582983,3936.276588,37.30855,0.557,200,0.468955244,2015
Iran,110,4.686,0.05863,0.776,75.1239,10.21497011,12730.15472,4.966588065,0.514,17,8.008771316,2015
Ukraine,111,4.681,0.02961,0.774,73.4581,11.16389722,11671.55321,3.59926,0.283,21,4.98250075,2015
Iraq,112,4.677,0.13788,0.675,69.4403,7.815446425,9859.834601,30.63102,0.555,83,4.656619943,2015
South Africa,113,4.642,0.08884,0.716,63.9499,10.23357964,13694.72811,14.26559,0.427,125,8.135061467,2015
Ghana,114,4.633,0.04355,0.607,63.1752,7.782635119,4637.531298,34.92485,0.554,320,0.578634112,2015
Zimbabwe,115,4.61,0.08079,0.582,59.5911,8.228876432,3638.532892,16.80576,0.54,480,0.884989383,2015
Liberia,116,4.571,0.06232,0.473,59.1485,4.53,1484.924981,42.87091,0.66,691,0.269149842,2015
India,117,4.565,0.08492,0.629,69.6363,6.249149414,5401.490996,38.66773,0.525,158,1.731529473,2015
Sudan,118,4.55,0.1466,0.508,64.6587,3.62,4531.578287,42.45021,0.572,320,0.518279462,2015
Haiti,119,4.518,0.17175,0.529,63.2372,5.25,3110.377887,38.29759,0.628,488,0.248767197,2015
Nepal,121,4.514,0.05907,0.579,67.4562,4.495927891,3376.943746,43.89112,0.495,236,0.252329897,2015
Ethiopia,122,4.512,0.15048,0.46,63.6492,2.57927413,1771.947958,44.335,0.536,446,0.12588429,2015
Sierra Leone,123,4.507,0.08786,0.453,57.189,4.094388518,1525.206701,47.29928,0.647,1180,0.122101297,2015
Mauritania,124,4.436,0.17461,0.544,64.4847,4.463322338,4887.008709,40.78516,0.635,785,0.722610602,2015
Kenya,125,4.419,0.05839,0.561,61.8922,6.3,3675.554026,22.89552,0.532,353,0.340471315,2015
Armenia,127,4.35,0.039,0.766,74.4361,11.57221031,11774.34934,3.685,0.309,28,1.869492708,2015
Botswana,128,4.332,0.12474,0.702,63.8183,10.02,15177.91893,23.27683,0.489,156,2.558051149,2015
Myanmar,129,4.307,0.19034,0.562,65.5613,5.811369513,3504.411587,19.44,0.493,246,0.419673411,2015
Georgia,130,4.297,0.38331,0.79,73.2972,12.71645498,12334.6582,3.139084436,0.355,27,2.422106549,2015
Malawi,131,4.292,0.06977,0.491,61.3781,4.117877962,1425.185701,28.21397,0.585,370,0.066872484,2015
Cameroon,133,4.252,0.05786,0.56,59.658,5.927817964,3522.297048,32.95967,0.582,554,0.332478223,2015
Bulgaria,134,4.218,0.00872,0.809,74.6325,11.18832016,19798.96986,6.7133,0.218,10,6.705185645,2015
Egypt,135,4.194,0.06324,0.706,70.4831,8.567844217,10382.27283,36.94291,0.563,39,2.370849864,2015
Yemen,136,4.077,0.07854,0.477,65.8734,3,1785.788608,46.13765,0.815,169,0.483295103,2015
Angola,137,4.033,0.07122,0.582,60.6546,4.704040408,7652.656486,34.17144,0.53,251,1.205735928,2015
Mali,138,3.995,0.12352,0.416,58.3632,1.87,2091.013072,46.17695,0.659,620,0.187547545,2015
Uganda,141,3.931,0.07267,0.517,61.0856,5.508101567,2028.218794,29.37211,0.542,387,0.118392318,2015
Senegal,142,3.904,0.10713,0.505,66.8794,2.806589961,2903.302557,45.28813,0.535,346,0.675338868,2015
Gabon,143,3.896,0.11091,0.699,65.4599,8.98,14167.7361,23.47992,0.557,261,2.705466898,2015
Niger,144,3.845,0.15639,0.376,61.0827,1.80438015,1187.645526,34.96483,0.656,555,0.10174154,2015
Cambodia,145,3.819,0.07247,0.574,69.8725,4.6,3329.290811,27.30485,0.484,178,0.549337059,2015
Tanzania,146,3.781,0.05747,0.52,64.6507,5.827563254,2310.042875,28.49972,0.569,556,0.206644443,2015
Madagascar,147,3.681,0.08124,0.504,64.339,4.935426371,1494.630382,35.01448,0.559,363,0.133328723,2015
Central African Republic,148,3.678,0.08289,0.384,52.793,4.23,869.8259183,34.5496,0.68,912,0.039958426,2015
Chad,149,3.667,0.05269,0.389,51.5888,2.217246912,1803.785358,42.9501,0.697,1160,0.049373626,2015
Guinea,150,3.656,0.12139,0.44,58.1336,1.936037481,2053.403321,48.26536,0.63,699,0.214414025,2015
Ivory Coast,151,3.655,0.17922,0.513,57.7624,4.828323715,4322.056408,45.11142,0.648,658,0.40495316,2015
Burkina Faso,152,3.587,0.12832,0.418,58.8454,1.444627494,1839.270697,39.15279412,0.619,343,0.182042319,2015
Afghanistan,153,3.575,0.09719,0.478,62.6587,2.365896084,2101.589319,45.36517,0.706,701,0.229679525,2015
Rwanda,154,3.465,0.55191,0.515,65.2977,4.1258775,1853.475173,29.25386,0.41,275,0.080846535,2015
Benin,155,3.34,0.0801,0.529,59.3771,3.716035576,2922.065347,43.65639,0.622,421,0.503557505,2015
Burundi,157,2.905,0.10062,0.428,60.2172,2.285303354,824.8696219,36.86809,0.517,568,0.038471343,2015
Togo,158,2.839,0.10731,0.514,59.3958,4.510378863,1981.773879,38.87913,0.592,398,0.254767137,2015
Denmark,1,7.526,0.44453,0.943,80.8803,13.16281986,55471.41408,4.29257,0.034,4,6.480325401,2016
