Country,Happiness Rank,Happiness Score,Corruption,Human Development Groups,HDI Rank (2021),Human Development Index,Life Expectancy at Birth,Expected Years of Schooling,Mean Years of Schooling,Gross National Income Per Capita,Gender Development Index,Coefficient of human inequality,Inequality in life expectancy,Inequality in eduation,Inequality in income,Gender Inequality Index,"Maternal Mortality Ratio (deaths per 100,000 live births)",Material footprint per capita (tonnes),Carbon dioxide emissions per capita (production) (tonnes),Year
Israel,13,7.139,0.082,Very High,22.0,0.921,82.8123,16.05088997,13.3448664,40633.62378,0.99,10.90440674,3.307220221,6.272,23.134,0.098,3.0,30.76,7.323728014,2019
Luxembourg,14,7.09,0.316,Very High,17.0,0.927,82.1434,14.39813995,13.01519217,76018.56437,0.987,9.631002189,3.917236567,6.29069,18.68508,0.062,5.0,45.47,15.8384614,2019
United Kingdom,15,7.054,0.278,Very High,18.0,0.935,81.725,17.30971909,13.32452361,47251.76897,0.974,8.217742353,3.835787058,2.84785,17.96959,0.106,7.0,17.85,5.464367838,2019
Ireland,16,7.021,0.31,Very High,8.0,0.942,82.2586,18.94522095,11.58222303,67253.22253,0.981,6.991820491,2.983881474,3.28604,14.70554,0.079,5.0,49.25,7.634477864,2019
Germany,17,6.985,0.265,Very High,9.0,0.948,81.5584,17.01013947,14.09096691,55564.96736,0.975,6.199358629,3.474845886,2.6632,12.46003,0.079,7.0,19.4,8.518354547,2019
Belgium,18,6.923,0.21,Very High,13.0,0.936,81.8311,19.60421944,12.37567997,52434.09838,0.975,7.618844901,3.674114704,8.18013,11.00229,0.048,5.0,33.45,8.643986894,2019
United States,19,6.892,0.128,Very High,21.0,0.93,79.138,16.28097916,13.59252501,63614.86366,0.994,11.4863775,5.71128273,2.745849765,26.002,0.189,19.0,29.65,15.9719737,2019
United Arab Emirates,21,6.825,0.182,Very High,26.0,0.92,79.7262,15.69414043,12.69402981,68590.90094,0.955,,4.800524712,12.63435527,,0.056,3.0,68.95,15.78070133,2019
Malta,22,6.726,0.151,Very High,23.0,0.915,83.2065,16.83856964,12.02542019,40611.11949,0.975,7.872140868,4.843212605,6.18818,12.58503,0.162,6.0,40.67,3.790204645,2019
Mexico,23,6.595,0.073,High,86.0,0.779,74.2021,14.86443996,9.077120304,19096.57525,0.971,17.71541071,9.859389305,13.48795481,29.798888,0.317,33.0,10.85,3.413761271,2019
France,24,6.592,0.183,Very High,28.0,0.905,82.7315,15.81206989,11.61005974,46963.19576,0.991,8.920900152,3.910800457,9.48623,13.36567,0.086,8.0,17.1,4.850791024,2019
Chile,26,6.444,0.056,Very High,42.0,0.861,80.3263,16.73130035,10.9349663,24077.24668,0.966,15.26912062,5.796098232,11.73821662,28.273047,0.206,13.0,13.5,4.544593041,2019
Guatemala,27,6.436,0.078,Medium,135.0,0.642,73.1289,10.56245041,5.681300163,8494.49306,0.926,26.44724059,14.82679176,34.95493,29.56,0.488,95.0,7.24,1.247569032,2019
Saudi Arabia,28,6.375,0.132,Very High,35.0,0.873,77.3036,16.02643967,10.94711971,47494.88673,0.914,,5.580720425,18.11940114,,0.265,17.0,30.03,18.16280816,2019
Qatar,29,6.374,0.167,Very High,42.0,0.859,80.9897,12.30768013,9.99601145,87791.91612,1.022,,4.225291252,11.22725944,,0.167,9.0,33.72,40.619378,2019
Spain,30,6.354,0.079,Very High,27.0,0.908,83.5321,17.91690063,10.37387514,40725.59088,0.984,12.97175568,2.938657045,16.86947,19.10714,0.056,4.0,13.48,5.38116921,2019
Panama,31,6.321,0.054,Very High,61.0,0.817,77.8103,13.05787868,10.54059029,29342.25437,1.007,19.80368107,11.46911049,11.37222672,36.569706,0.398,52.0,13.48,2.895108113,2019
Brazil,32,6.3,0.086,High,87.0,0.766,75.3379,15.59906006,8.128813955,14367.23924,0.992,22.22385494,9.712618828,15.65257,41.306376,0.395,60.0,18.87,2.301796677,2019
Uruguay,33,6.293,0.15,Very High,58.0,0.821,77.5085,16.83259964,8.982549667,21916.76822,1.02,11.95987227,5.786698818,6.54951,23.543408,0.253,17.0,17.49,1.901937006,2019
Singapore,34,6.262,0.453,Very High,12.0,0.943,83.7584,16.5243206,11.85017014,86601.44993,0.988,12.45732422,2.40425086,10.00732115,24.96040064,0.051,8.0,50.43,7.874336035,2019
El Salvador,35,6.253,0.074,Medium,125.0,0.683,72.5586,12.67134767,7.112040043,8338.88639,0.975,18.72066499,9.886942863,23.7938081,22.481244,0.37,46.0,5.87,1.061849186,2019
Italy,36,6.223,0.03,Very High,30.0,0.897,83.552,16.22678947,10.65328026,43121.80118,0.969,11.23884003,2.789750099,10.05442,20.87235,0.054,2.0,11.85,5.611424924,2019
Bahrain,37,6.199,0.11,Very High,35.0,0.882,80.0186,16.29755974,10.79733992,42664.29218,0.934,,4.766443729,12.56789221,,0.186,14.0,23.83,20.98445501,2019
Slovakia,38,6.198,0.014,Very High,45.0,0.862,77.6851,14.51303959,12.91141987,31112.82476,0.993,5.930927452,4.906582355,1.55613,11.33007,0.194,5.0,19.14,6.189008529,2019
Poland,40,6.182,0.05,Very High,34.0,0.881,77.9272,16.0271492,13.12476754,31838.9708,1.005,7.46316103,4.306703091,4.93736,13.14542,0.111,2.0,17.85,8.433355061,2019
Uzbekistan,41,6.174,0.24,High,101.0,0.726,71.3441,12.47714043,11.89558983,7499.478344,0.945,,9.486933708,0.550110115,,0.268,29.0,6.12,3.462494189,2019
Lithuania,42,6.149,0.042,Very High,35.0,0.884,76.2119,16.28506088,13.39486345,35705.28941,1.022,9.407682014,4.220046043,3.88094,20.12206,0.122,8.0,40.13,5.045283294,2019
Colombia,43,6.125,0.034,High,88.0,0.768,76.7523,14.51506042,8.643030167,14240.59041,0.991,20.60042653,9.439793587,14.64929,37.712196,0.423,83.0,9.09,1.796191905,2019
Slovenia,44,6.118,0.057,Very High,23.0,0.921,81.6042,17.65492058,12.80368042,38439.64415,1.001,4.413880317,2.528790951,2.12184,8.59101,0.07,7.0,25.38,6.737966011,2019
Nicaragua,45,6.105,0.127,Medium,126.0,0.664,74.0543,12.64135783,7.144,5262.435225,0.956,22.36346299,10.59755135,25.79903661,30.693801,0.432,98.0,5.4,0.866717327,2019
Argentina,47,6.086,0.05,Very High,47.0,0.852,77.2845,17.8748703,11.14726927,21197.74104,1.0,13.83860578,7.628760338,5.78729,28.099767,0.306,39.0,15.81,3.741917524,2019
Romania,48,6.07,0.005,Very High,53.0,0.832,76.5079,14.22990036,11.27511978,29442.20491,0.995,11.01643048,5.196281433,5.33215,22.52086,0.278,19.0,16.04,3.865118112,2019
Cyprus,49,6.046,0.041,Very High,29.0,0.897,81.397,15.64826965,12.36152506,39568.03192,0.975,8.750624908,2.683434725,10.47803,13.09041,0.109,6.0,36.58,6.123855412,2019
Ecuador,50,6.028,0.087,High,95.0,0.76,77.2971,14.62423038,8.800052961,11034.20422,0.969,17.93478001,9.379899025,13.3739,31.050541,0.37,59.0,7.74,2.115714004,2019
Kuwait,51,6.021,0.097,Very High,50.0,0.839,79.685,15.32443332,7.328022618,57254.52971,1.011,,5.561344624,22.10817735,,0.225,12.0,65.32,22.9734474,2019
Thailand,52,6.008,0.028,Very High,66.0,0.804,78.9751,15.88221913,8.697119713,17773.65504,1.013,14.35077376,7.417031288,16.84539,18.7899,0.335,37.0,11.75,3.901218377,2019
